L0,L1,L2,Graph
0.24815969,-0.7180586,,
-0.8265166,0.20613387,,
-0.09152329,0.1852501,,
0.5337988,0.48275268,,
-0.2066814,0.9136554,,
-0.7231454,0.7643465,,
0.89794815,0.44251359,,
-0.25792265,-0.22736943,,
-0.27794698,-0.54596347,,
0.3201694,-0.90797204,,
0.8283078,-0.27158734,,
0.10221368,0.6843501,,
0.77048993,-0.5751461,,
0.83900934,0.3608412,,
0.02826523,1.0,,
1.0,-0.9867184,,
0.25395012,-0.0053186417,,
-0.5682642,-0.76891375,,
-0.5584601,0.5787301,,
-0.39157504,-0.44741374,,
0.9730547,0.25866887,,
0.0749277,0.5957615,,
1.0,-0.0390438,,
0.6092665,-0.7344812,,
-0.115824,0.53148997,,
0.777241,0.7015168,,
-1.0,0.8107174,,
0.82839847,0.500155,,
1.0,0.3002871,,
0.038060963,-0.1680999,,
0.26649752,0.18674459,,
-0.6499592,-1.0,,
-0.34168774,-0.47249424,,
-0.47338808,0.7049676,,
0.04110972,0.06911376,,
-0.28930756,-1.0,,
0.20153391,-0.8930342,,
-0.5234222,0.922688,,
0.24823856,0.85744613,,
0.6520547,-1.0,,
-0.71325135,-0.2604424,,
-0.63110244,0.34218943,,
0.30262238,0.18456304,,
0.6188531,0.7638909,,
-0.14414228,0.33065027,,
0.5817545,0.16891436,,
0.5862334,0.3467216,,
0.05591408,-0.80266833,,
-0.730409,0.76077676,,
-1.0,-0.023975369,,
-0.642885,-0.3594694,,
0.68189776,-0.875293,,
-0.34219834,-0.10857293,,
-0.58003765,-0.73561776,,
0.5945804,-1.0,,
0.056876987,-0.33207566,,
0.23717798,0.06555017,,
0.97729313,1.0,,
-1.0,0.8170577,,
-0.12479801,-0.68162215,,
0.38582727,0.95292205,,
0.6146555,0.83723205,,
0.39002705,0.62331176,,
0.0169442,-0.36023825,,
-0.29134828,-0.6962679,,
0.12041442,0.36007696,,
-0.14307019,-0.7457631,,
-0.027711779,-0.7912481,,
0.3869362,0.72516257,,
-0.15636498,-0.4189276,,
0.11730528,-0.15272778,,
0.8529319,-0.7535917,,
0.73617846,-0.81522673,,
-0.96824616,0.571498,,
0.5755199,-0.8506439,,
0.6130736,-0.54415786,,
